iter	RMSE
0	1.019139008
1	0.9458361767
2	0.8810821506
3	0.8222859115
4	0.7699144386
5	0.7202228823
6	0.6731786232
7	0.6328165372
8	0.5968713134
9	0.5658526001
10	0.5351335716
11	0.5062391916
12	0.482400392
13	0.459963282
14	0.4398403553
15	0.4226801204
16	0.4094907202
17	0.39664162
18	0.3845818815
19	0.373575265
20	0.364121614
21	0.3541510159
22	0.3462025137
23	0.3369485356
24	0.3281321938
25	0.3218607223
26	0.3142387367
27	0.3066366659
28	0.2997265318
29	0.2960027278
30	0.292352376
31	0.2874488272
32	0.2836804886
33	0.2792154386
34	0.2759625714
35	0.2738699098
36	0.2711385435
37	0.2689792868
38	0.2652302552
39	0.2633076841
40	0.2615847854
41	0.2591221366
42	0.2572264933
43	0.2550203907
44	0.2536331741
45	0.251175042
46	0.2487167496
47	0.2471450873
48	0.245720332
49	0.2443615072
50	0.2418481099
51	0.2401410539
52	0.2392172682
53	0.2377115921
54	0.236720613
55	0.2352189492
56	0.2341176889
57	0.2322483374
58	0.2309765963
59	0.2295229128
60	0.2270558837
61	0.2251051445
62	0.224457306
63	0.223582259
64	0.2226367277
65	0.2209657179
66	0.2201407005
67	0.2194198647
68	0.2190791341
69	0.2174467936
70	0.2162947249
71	0.2153182445
72	0.2140032113
73	0.2133362365
74	0.212366425
75	0.2119502936
76	0.2112147924
77	0.210795786
78	0.2093163745
79	0.2086147585
80	0.2076041423
81	0.2067848969
82	0.2052494172
83	0.2042767843
84	0.2035133306
85	0.2030031908
86	0.2023332042
87	0.2014588894
88	0.2005887729
89	0.1999617407
90	0.1994576358
91	0.1987540853
92	0.1967291537
93	0.1963275584
94	0.1950788743
95	0.1947933333
96	0.1940368496
97	0.1935048176
98	0.1928467049
99	0.1922142702
100	0.1914829038
101	0.190465707
102	0.1896563722
103	0.1890434775
104	0.188834751
105	0.1871700464
106	0.1860380382
107	0.1859029622
108	0.1855321569
109	0.1843487449
110	0.1833326435
111	0.1820854403
112	0.1811852009
113	0.1810662896
114	0.180524954
115	0.1794772968
116	0.1790930162
117	0.1785606461
118	0.178200805
119	0.1779021681
120	0.1776585621
121	0.1771009232
122	0.1765890099
123	0.1765004271
124	0.176220728
125	0.175495075
126	0.1748334964
127	0.1741396752
128	0.1739002472
129	0.1731273729
130	0.1719300704
131	0.1714478418
132	0.1710566806
133	0.1701658475
134	0.1697110418
135	0.1684989379
136	0.1680214959
137	0.1678526124
138	0.1669728682
139	0.166895941
140	0.1663327679
141	0.1660959502
142	0.1654414354
143	0.1650479497
144	0.1647324518
145	0.1644417906
146	0.1634288354
147	0.1626188596
148	0.1621547422
149	0.161427151
150	0.1608762017
151	0.1601176372
152	0.1593945083
153	0.1586673764
154	0.1579806608
155	0.1578611613
156	0.1576069916
157	0.1572317424
158	0.1567600772
159	0.1565138433
160	0.155905334
161	0.1552546186
162	0.1548769828
163	0.1542753097
164	0.1537793208
165	0.1531960449
166	0.1527115187
167	0.1518212963
168	0.1513486968
169	0.1508656492
170	0.1506130678
171	0.1503193602
172	0.149648601
173	0.1488926351
174	0.1485766849
175	0.1484082297
176	0.1480199081
177	0.1476521881
178	0.1474043196
179	0.1467256022
180	0.1461995559
181	0.1459039105
182	0.1456310846
183	0.1451333172
184	0.144534332
185	0.1440601786
186	0.1438028187
187	0.1433665112
188	0.1427597506
189	0.1422644267
190	0.1417050064
191	0.1413653743
192	0.1408435786
193	0.1405315781
194	0.1402360919
195	0.1401747732
196	0.1396019447
197	0.1388486731
198	0.1384551659
199	0.1380820183
200	0.1375155041
201	0.137027062
202	0.1366152989
203	0.1360136909
204	0.135379112
205	0.1351730522
206	0.1348931701
207	0.1344895902
208	0.1339149044
209	0.1337677255
210	0.1334081231
211	0.1331690398
212	0.1331475476
213	0.1323255054
214	0.1319906821
215	0.1315960497
216	0.1313227206
217	0.1305397221
218	0.1301766705
219	0.1298229686
220	0.1294501018
221	0.1290630898
222	0.1287828873
223	0.1284417334
224	0.1280881461
225	0.1276733739
226	0.1272203241
227	0.1268223322
228	0.1264614723
229	0.1261949363
230	0.1261484934
231	0.1256335099
232	0.1253833516
233	0.1249718728
234	0.1246545208
235	0.1241570452
236	0.1240145857
237	0.1238128567
238	0.1233061891
239	0.123125771
240	0.1226938998
241	0.1224927556
242	0.1221329793
243	0.1218256862
244	0.1214425655
245	0.1209896149
246	0.1207283052
247	0.1202195799
248	0.1197891582
249	0.119536144
250	0.1192427998
251	0.119021442
252	0.1186912357
253	0.1186517012
254	0.1183774824
255	0.1179907514
256	0.1179634606
257	0.1176228492
258	0.1172934734
259	0.1170656122
260	0.1169268253
261	0.1166176291
262	0.1161519324
263	0.1158578369
264	0.1154794031
265	0.1153292793
266	0.1149524137
267	0.1149111148
268	0.1144989712
269	0.1144068768
270	0.1141796405
271	0.1139048475
272	0.1137259965
273	0.1134776115
274	0.1132911571
275	0.1130810695
