iter	Passed	Remaining
0	11	7022
1	18	5460
2	26	5074
3	30	4382
4	32	3814
5	35	3462
6	38	3204
7	41	2967
8	43	2810
9	46	2671
10	48	2558
11	51	2464
12	54	2405
13	57	2344
14	59	2283
15	62	2230
16	65	2201
17	69	2183
18	71	2147
19	74	2105
20	76	2066
21	79	2035
22	81	2004
23	85	1996
24	88	1981
25	90	1961
26	93	1935
27	95	1916
28	98	1896
29	101	1886
30	104	1871
31	106	1855
32	109	1838
33	111	1817
34	113	1795
35	115	1775
36	118	1756
37	120	1738
38	122	1722
39	125	1721
40	129	1721
41	131	1706
42	133	1693
43	136	1683
44	139	1682
45	142	1678
46	145	1672
47	148	1662
48	150	1653
49	153	1648
50	156	1641
51	158	1634
52	161	1630
53	164	1623
54	167	1615
55	169	1609
56	171	1598
57	174	1588
58	176	1579
59	178	1568
60	180	1556
61	182	1548
62	184	1538
63	187	1533
64	190	1527
65	192	1518
66	194	1510
67	197	1504
68	198	1493
69	201	1490
70	204	1489
71	207	1483
72	209	1476
73	212	1470
74	214	1465
75	217	1459
76	219	1453
77	221	1448
78	224	1442
79	226	1437
80	229	1431
81	231	1427
82	234	1423
83	237	1419
84	241	1425
85	244	1422
86	246	1416
87	248	1410
88	251	1404
89	253	1400
90	256	1397
91	258	1392
92	261	1389
93	264	1386
94	266	1382
95	269	1378
96	271	1371
97	273	1365
98	275	1358
99	278	1354
100	281	1352
101	283	1348
102	286	1346
103	289	1342
104	291	1339
105	294	1337
106	298	1339
107	301	1336
108	303	1331
109	306	1327
110	308	1323
111	311	1320
112	313	1316
113	316	1312
114	319	1310
115	322	1309
116	325	1307
117	328	1304
118	330	1301
119	333	1296
120	335	1292
121	338	1288
122	339	1282
123	342	1277
124	344	1272
125	346	1268
126	348	1262
127	350	1258
128	353	1253
129	355	1248
130	357	1243
131	359	1239
132	361	1235
133	363	1229
134	365	1225
135	367	1219
136	369	1215
137	371	1210
138	374	1205
139	375	1198
140	377	1193
141	379	1189
142	381	1184
143	383	1179
144	385	1175
145	387	1170
146	389	1165
147	391	1161
148	393	1156
149	395	1151
150	396	1146
151	398	1141
152	401	1137
153	403	1133
154	405	1130
155	407	1125
156	409	1120
157	411	1117
158	414	1114
159	415	1110
160	417	1105
161	419	1101
162	422	1097
163	424	1093
164	426	1089
165	428	1086
166	430	1082
167	433	1080
168	436	1078
169	438	1076
170	441	1074
171	444	1071
172	447	1070
173	452	1074
174	455	1071
175	457	1068
176	460	1066
177	462	1063
178	465	1061
179	468	1059
180	471	1058
181	475	1058
182	482	1065
183	486	1064
184	489	1063
185	492	1062
186	495	1059
187	498	1056
188	501	1055
189	504	1053
190	506	1049
191	508	1046
192	511	1043
193	513	1040
194	515	1037
195	517	1033
196	520	1029
197	523	1027
198	525	1024
199	527	1021
200	530	1017
201	532	1013
202	534	1010
203	536	1006
204	538	1003
205	540	999
206	542	996
207	544	992
208	546	988
209	548	985
210	550	981
211	552	978
212	554	974
213	556	970
214	558	966
215	560	962
216	562	958
217	563	954
218	565	950
219	567	946
220	569	942
221	570	938
222	572	934
223	574	930
224	576	926
225	577	923
226	579	919
227	581	915
228	583	912
229	585	908
230	586	904
231	588	901
232	590	897
233	592	894
234	595	891
235	597	888
236	599	885
237	602	882
238	604	879
239	606	876
240	608	873
241	610	870
242	612	867
243	614	864
