Released_Date,Movie_Name,Language,Director,Star_Featuring,Budget,Opening_Day,Screens,India_Hindi_Net,India_Gross,Overseas,Worldwide,Profit,Profit_Percentage,Rating,Verdict,Unnamed: 16,Genre
05-01-2017,Shatamanam Bhavati,Telugu,Satish Vegesna,Sharwanand,12,4.0,1200,1.0,50.0,20.0,70.0,58.0,483.0,7.3,SUPER HIT,,Drama
05-01-2017,Alamara,Malayalam,Midhun Manuel Thomas,Sunny Wayne,6,1.0,600,0.2,12.0,4.0,16.0,10.0,166.0,6.0,HIT,,Comedy
05-01-2017,Dhuruvangal Pathinaaru,Tamil,Karthick Naren,Rahman,5,1.2,500,0.2,15.0,5.0,20.0,15.0,300.0,8.3,BLOCKBUSTER,,Thriller
06-01-2017,Bisorjon,Bengali,Kaushik Ganguly,Abir Chatterjee,4,0.8,350,0.05,8.0,3.0,11.0,7.0,175.0,7.8,HIT,,Drama
06-01-2017,Chowka,Kannada,Tharun Sudhir,Prajwal Devaraj,15,3.0,900,0.2,20.0,8.0,28.0,13.0,86.0,6.5,HIT,,Drama
12-01-2017,Gautamiputra Satakarni,Telugu,Krish Jagarlamudi,Nandamuri Balakrishna,80,12.0,2000,1.0,70.0,15.0,85.0,5.0,6.25,6.9,AVERAGE,,Historical
13-01-2017,Katyar Kaljat Ghusali,Marathi,Subodh Bhave,Sachin Pilgaonkar,5,1.0,500,0.1,12.0,8.0,20.0,15.0,300.0,8.0,HIT,,Musical
13-01-2017,Jindua,Punjabi,Navaniat Singh,Jimmy Sheirgill,7,1.2,550,0.04,15.0,10.0,25.0,18.0,257.0,6.1,HIT,,Comedy
13-01-2017,Nirahua Chalal London,Bhojpuri,Chandra Pant,Dinesh Lal Yadav,6,1.2,600,0.02,15.0,8.0,23.0,17.0,283.0,6.5,HIT,,Comedy
13-01-2017,Okka Kshanam,Telugu,Vi Anand,Allu Sirish,18,3.2,1100,0.5,20.0,10.0,30.0,12.0,66.0,6.5,HIT,,Romance
14-01-2017,Bairavaa,Tamil,Bharathan,Vijay,100,16.0,2500,2.0,120.0,40.0,160.0,60.0,60.0,5.9,HIT,,Action
20-01-2017,Dhyanimani,Marathi,Chandrakant Kulkarni,Ashok Saraf,4,0.6,300,0.03,6.0,2.0,8.0,4.0,100.0,6.5,HIT,,Drama
20-01-2017,Munthirivallikal Thalirkkumbol,Malayalam,Jibu Jacob,Mohanlal,35,6.0,1200,0.5,45.0,12.0,57.0,22.0,62.0,7.1,HIT,,Drama
25-01-2017,Raees,Hindi,Rahul Dholakia,Shah Rukh Khan,127,20.0,2700,139.0,200.0,108.0,308.0,181.0,142.0,6.7,HIT,,Crime
25-01-2017,Kaabil,Hindi,Sanjay Gupta,Hrithik Roshan,50,10.0,2500,126.0,155.0,53.0,208.0,158.0,316.0,7.1,HIT,,Thriller
