Released_Date,Movie_Name,Language,Director,Star_Featuring,Budget,Opening_Day,Screens,India_Hindi_Net,India_Gross,Overseas,Worldwide,Profit,Profit_Percentage,Rating,Verdict,Genre
04-01-2019,Uriyadi 2,Tamil,Vijay Kumar,Vijay Kumar,6,1.2,400,0.05,10.0,3.0,13,7,116,7.4,HIT,Action
04-01-2019,K.G.F Chapter 1,Hindi Dub,Prashanth Neel,Yash,80,10.0,2000,44.0,65.0,35.0,100,20,25,8.2,HIT,Action
04-01-2019,NTR Kathanayakudu,Telugu,Krish Jagarlamudi,Nandamuri Balakrishna,70,7.0,2000,0.3,22.0,10.0,32,-38,-54,5.8,FLOP,Biography
04-01-2019,Petta,Tamil,Karthik Subbaraj,Rajinikanth,160,21.0,2900,0.5,180.0,70.0,250,90,56,7.3,HIT,Action
04-01-2019,Sarvam Thaala Mayam,Tamil,Rajiv Menon,G V Prakash Kumar,12,1.2,500,0.05,15.0,6.0,21,9,75,7.6,HIT,Musical
10-01-2019,Kanchana 3,Tamil,Raghava Lawrence,Raghava Lawrence,40,10.0,2200,0.2,130.0,25.0,155,115,287,4.3,SUPER HIT,Horror
11-01-2019,Viswasam,Tamil,Siva,Ajith Kumar,100,26.0,3000,0.5,210.0,45.0,255,155,155,6.8,SUPER HIT,Drama
11-01-2019,The Accidental Prime Minister,Hindi,Vijay Ratnakar Gutte,Anupam Kher,30,4.5,1300,20.0,28.0,8.0,36,6,20,6.1,AVERAGE,Biography
11-01-2019,Cheat India,Hindi,Soumik Sen,Emraan Hashmi,30,3.0,1200,8.0,10.0,3.0,13,-17,-56,6.3,DISASTER,Drama
11-01-2019,Simmba,Hindi,Rohit Shetty,Ranveer Singh,80,20.0,3500,240.0,300.0,50.0,350,270,337,6.7,BLOCKBUSTER,Action
11-01-2019,Thackeray Marathi Dub,Marathi,Abhijit Panse,Nawazuddin Siddiqui,20,2.0,600,0.02,15.0,5.0,20,0,0,6.0,AVERAGE,Biography
11-01-2019,Viswasam Hindi Dub,Hindi Dub,Siva,Ajith Kumar,100,4.0,900,5.0,15.0,10.0,25,-75,-75,6.5,FLOP,Drama
11-01-2019,Uri The Surgical Strike,Hindi,Aditya Dhar,Vicky Kaushal,25,8.2,1800,245.0,290.0,50.0,340,315,1260,8.2,ALL TIME BLOCKBUSTER,Action
11-01-2019,NTR Mahanayakudu,Telugu,Krish,Balakrishna,70,6.0,1700,0.05,30.0,10.0,40,-30,-43,5.5,FLOP,Biography
18-01-2019,Fagun Haway,Bengali,Tauquir Ahmed,Siyam Ahmed,4,0.6,300,0.02,8.0,3.0,11,7,175,7.1,HIT,Drama
18-01-2019,Kidnap,Bengali,Raja Chanda,Dev,7,1.2,350,0.02,14.0,6.0,20,13,186,6.2,HIT,Thriller
18-01-2019,Fraud Saiyaan,Hindi,Sourabh Shrivastava,Arshad Warsi,12,1.8,800,10.0,13.0,2.0,15,3,25,4.2,AVERAGE,Comedy
18-01-2019,Why Cheat India,Hindi,Soumik Sen,Emraan Hashmi,30,3.0,1200,8.0,10.0,3.0,13,-17,-56,6.1,DISASTER,Drama
18-01-2019,Photograph,Hindi,Ritesh Batra,Nawazuddin Siddiqui,18,0.9,700,7.0,9.0,4.0,13,-5,-27,6.8,FLOP,Romance
18-01-2019,F2 Fun and Frustration,Telugu,Anil Ravipudi,Venkatesh,30,8.0,2200,0.1,120.0,20.0,140,110,366,6.2,BLOCKBUSTER,Comedy
