Released_Date,Movie,Stars_Featuring,Director,Language,Worldwide,India_Hindi_Net,India_Gross,Overseas,Budget,Verdict,Opening_Day,Screens,Rating
05-01-2021,Pogaru,Dhruva Sarja,Nanda Kishore,Kannada,40,1,30,10,35,Average,2.0,1516,6.4
08-01-2021,Alludu Adhurs,Bellamkonda Srinivas,Santosh Srinivas,Telugu,32,1,25,7,35,Average,1.5,1703,4.8
09-01-2021,Krack,Ravi Teja,Gopichand Malineni,Telugu,60,2,45,15,30,Hit,3.3,1767,6.8
13-01-2021,Master,Vijay,Lokesh Kanagaraj,Tamil,250,8,180,70,135,Blockbuster,35.0,3000,7.7
14-01-2021,Eeswaran,Silambarasan,Suseenthiran,Tamil,30,1,23,7,10,Hit,0.9,862,5.9
14-01-2021,Kaalaiyan,Arulnithi,Saravanan,Tamil,18,1,14,4,12,Average,0.5,504,5.5
15-01-2021,Kaagaz,Pankaj Tripathi,Satish Kaushik,Hindi,12,9,10,2,15,Average,0.9,854,7.6
15-01-2021,Teddy,Arya,Shakti Soundar Rajan,Tamil,25,1,18,7,30,Average,1.7,1161,5.2
22-01-2021,Kalathil Sandhippom,Jiiva,N Rajasekar,Tamil,20,1,15,5,25,Average,1.2,1944,6.1
22-01-2021,Drishyam 2 (Telugu Dub),Venkatesh,Jeethu Joseph,Telugu,45,1,35,10,20,Hit,2.2,1541,8.3
29-01-2021,Check,Nithiin,Chandrasekhar Yeleti,Telugu,25,1,19,6,35,Flop,1.9,930,6.2
29-01-2021,Miss India,Keerthy Suresh,Narendra Nath,Telugu,28,1,21,7,30,Average,1.8,2060,6.1
05-02-2021,The White Tiger,Adarsh Gourav,Ramin Bahrani,Hindi,30,20,22,8,40,Average,1.6,1274,7.4
05-02-2021,Bhoomi,Jayam Ravi,Lakshman,Tamil,18,1,14,4,30,Flop,1.4,1816,5.8
05-02-2021,Naandhi (Hindi Dub),Allari Naresh,Vijay Kanakamedala,Telugu,12,5,9,3,10,Average,0.7,832,8.1
12-02-2021,Red,Ram Pothineni,Kishore Tirumala,Telugu,45,1,34,11,25,Average,2.0,1698,5.7
12-02-2021,Zombie Reddy,Teja Sajja,Prasanth Varma,Telugu,18,1,14,4,10,Hit,1.1,396,5.9
12-02-2021,FCUK,Fredrick,Ramesh Pisharody,Malayalam,6,0,5,1,8,Average,0.3,663,5.1
19-02-2021,Naandhi,Allari Naresh,Vijay Kanakamedala,Telugu,30,1,23,7,10,Hit,1.5,360,8.1
19-02-2021,Kapatadhaari,Sumanth,Pradeep Krishnamoorthy,Telugu,10,1,8,2,12,Average,0.3,303,6.5
19-02-2021,Paar,Adil Hussain,Goutam Ghose,Bengali,10,0,8,2,6,Average,0.5,228,5.8
26-02-2021,Sreekaram,Sharwanand,Kishore Reddy,Telugu,22,1,17,5,25,Average,1.1,1712,7.8
26-02-2021,Pitta Kathalu,Amala Paul,Nag Ashwin,Telugu,10,1,8,2,15,Average,0.5,727,7.1
05-03-2021,Jathi Ratnalu,Naveen Polishetty,Anudeep KV,Telugu,70,2,55,15,20,Blockbuster,4.9,1255,7.8
05-03-2021,Roberrt,Darshan,Tharun Sudhir,Kannada,100,2,75,25,60,Blockbuster,9.2,3624,5.6
05-03-2021,Roberrt (Telugu Dub),Darshan,Tharun Sudhir,Telugu,25,1,19,6,15,Hit,1.6,694,5.6
11-03-2021,Roohi,Rajkummar Rao,Hardik Mehta,Hindi,30,22,25,5,35,Flop,1.6,931,5.2
12-03-2021,Rang De,Nithiin,Venky Atluri,Telugu,40,1,30,10,30,Average,2.0,1171,7.5
12-03-2021,Sashi,Aadi Sai Kumar,Srinivas Naidu,Telugu,12,1,9,3,15,Average,0.7,883,6.2
12-03-2021,Kabadadaari,Sibiraj,Pradeep Krishnamoorthy,Tamil,20,1,15,5,12,Average,1.0,835,5.9
18-03-2021,Mumbai Saga,John Abraham,Sanjay Gupta,Hindi,35,25,28,7,80,Disaster,2.6,3987,6.3
19-03-2021,Mosagallu,Vishnu Manchu,Jeffrey Gee Chin,Telugu,15,1,12,3,50,Disaster,1.1,3442,4.9
19-03-2021,Gaali Sampath,Rajendra Prasad,Anish Krishna,Telugu,10,1,8,2,12,Average,0.5,417,6.1
19-03-2021,Power Play,Raj Tarun,Vijay Kumar Konda,Telugu,15,1,12,3,15,Average,0.6,468,5.4
26-03-2021,Aranya,Rana Daggubati,Prabhu Solomon,Tamil,30,1,22,8,40,Flop,1.4,1703,7.2
26-03-2021,A1 Express,Sundeep Kishan,Dennis Jeevan,Telugu,16,1,12,4,15,Average,1.3,864,7.1
26-03-2021,Kaatru Veliyidai Re-release,Karthi,Mani Ratnam,Tamil,8,0,6,2,3,Average,0.3,327,7.4
02-04-2021,Wild Dog,Nagarjuna,Ahishor Solomon,Telugu,18,1,14,4,30,Flop,1.4,821,6.5
02-04-2021,Sultan,Karthi,Bakkiyaraj Kannan,Tamil,60,2,45,15,40,Hit,4.7,1399,5.7
02-04-2021,Chaavu Kaburu Challaga,Kartikeya Kaushik,Pegallapati Koushik,Telugu,14,1,11,3,15,Average,1.0,878,7.6
02-04-2021,Kapatadhaari (Kannada),Sumanth,Pradeep Krishnamoorthy,Kannada,12,1,9,3,10,Average,0.5,476,6.5
09-04-2021,Vakeel Saab,Pawan Kalyan,Venu Sriram,Telugu,137,3,105,32,90,Super Hit,9.0,4127,7.1
09-04-2021,Thimmarusu,Satyadev,Sharan Koppisetty,Telugu,18,1,14,4,10,Average,0.9,401,7.0
09-04-2021,Ninnila Ninnila,Ashok Selvan,Anand Shankar,Tamil,12,1,9,3,12,Average,0.6,861,6.8
16-04-2021,Paagal,Vishwak Sen,Naresh Kuppili,Telugu,20,1,15,5,25,Flop,0.9,1598,5.8
