Released_Date,Movie,Star_Power,Director,Language,Worldwide,India_Hindi_Net,India_Gross,Overseas,Budget,Verdict,Opening_Day,Screens,Rating
06-01-2023,Har Har Mahadev,Sharad Kelkar,Abhijeet Deshpande,Marathi,40,0,32,8,20,Hit,3.0,2157,6.5
06-01-2023,Kaberi Antardhan,Prosenjit Chatterjee,Kaushik Ganguly,Bengali,7,0,6,1,4,Average,0.3,300,6.2
06-01-2023,3 Ekka,Malhar Thakar,Rajesh Sharma,Gujrati,12,0,10,2,5,Average,0.6,126,5.8
11-01-2023,Thunivu,Ajith Kumar,H. Vinoth,Tamil,200,0,150,50,140,Hit,25.0,4000,6.3
12-01-2023,Varisu,Vijay,Vamshi Paidipally,Tamil,310,0,210,100,200,Hit,22.0,4500,6.1
12-01-2023,Veera Simha Reddy,Nandamuri Balakrishna,Gopichand Malineni,Telugu,134,0,110,24,90,Hit,10.4,4323,6.2
13-01-2023,Waltair Veerayya,Chiranjeevi,Bobby Kolli,Telugu,225,0,170,55,140,Blockbuster,14.4,5714,6.5
13-01-2023,Ved (Re),Riteish Deshmukh,Riteish Deshmukh,Marathi,25,0,20,5,15,Hit,1.2,761,7.8
13-01-2023,Godday Godday Chaa,Sonam Bajwa,Vijay Kumar Arora,Punjabi,35,0,28,7,10,Hit,1.5,494,7.0
20-01-2023,Christy,Mathew Thomas,Alvin Henry,Malayalam,7,0,5,2,10,Flop,0.3,604,6.4
20-01-2023,Kranti,Darshan,V. Harikrishna,Kannada,50,0,40,10,60,Average,4.0,2287,5.9
20-01-2023,Sarsenapati Hambirrao Re-release,Pravin Tarde,Pravin Tarde,Marathi,18,0,14,4,10,Average,0.9,473,7.2
20-01-2023,Projapati,Mithun Chakraborty,Abhijit Sen,Bengali,30,0,24,6,10,Hit,1.3,392,6.8
20-01-2023,Hu Ane Tu,Siddharth Randeria,Manan Sagar,Gujrati,10,0,8,2,4,Average,0.3,223,7.1
25-01-2023,Pathaan,Shah Rukh Khan,Siddharth Anand,Hindi,1050,543,654,396,250,Blockbuster,55.0,10000,5.9
27-01-2023,Kali Jotta,Satinder Sartaaj,Vijay Kumar Arora,Punjabi,40,0,32,8,12,Hit,1.2,501,7.3
