Released_Date,Movie_Name,Stars_Featuring,Language,Director,Budget,India Gross Collection,Overseas Collection,Worldwide Collection,Profit,Profit in Percentage,Rating,Verdict,Opening_Day,Screens,Genre
05-12-2024,Pushpa: The Rule - Part 2,Allu Arjun,Telugu,Sukumar,450,1383.4,266.8,1650.2,1200.2,26671%,6.1,Blockbuster,72.0,10000,Action
27-06-2024,Kalki 2898 AD,Prabhas,Telugu,Nag Ashwin,450,784.6,275.8,1060.4,610.4,13564%,7.0,Blockbuster,95.0,10500,Sci-Fi
15-08-2024,Stree 2: Sarkate Ka Aatank,Rajkummar Rao,Hindi,Amar Kaushik,115,708.6,143.8,852.4,737.4,64122%,6.9,All Time Blockbuster,55.0,8500,Horror
05-09-2024,The Greatest of All Time,Vijay,Tamil,Venkat Prabhu,300,294.6,158.2,452.8,152.8,5093%,5.7,Hit,40.0,7000,Action
27-09-2024,Devara Part 1,NTR Jr.,Telugu,Koratala Siva,250,346.6,76.6,423.2,173.2,6928%,6.0,Hit,76.0,7500,Action
01-11-2024,Bhool Bhulaiyaa 3,Kartik Aaryan,Hindi,Anees Bazmee,150,304.4,78.2,382.6,232.6,15507%,4.7,Blockbuster,35.0,7000,Horror
01-11-2024,Singham Again,Ajay Devgn,Hindi,Rohit Shetty,300,293.2,75.2,368.4,68.4,2280%,4.8,Average,43.0,7500,Action
25-01-2024,Fighter,Hrithik Roshan,Hindi,Siddharth Anand,240,236.6,101.8,338.4,98.4,4100%,6.2,Average,24.0,6000,Action
31-10-2024,Amaran,Sivakarthikeyan,Tamil,Rajkumar Periasamy,80,248.4,80.2,328.6,248.6,31075%,8.2,Blockbuster,32.1,2936,Biography
12-01-2024,Hanu Man,Teja Sajja,Telugu,Prasanth Varma,35,237.5,58.7,296.2,261.2,74629%,7.7,Blockbuster,18.9,1824,Action
22-02-2024,Manjummel Boys,Soubin Shahir,Malayalam,Chidambaram,15,168.2,73.4,241.6,226.6,151067%,8.2,All Time Blockbuster,11.2,393,Adventure
10-10-2024,Vettaiyan,Rajinikanth,Tamil,T.J. Gnanavel,200,158.6,82.2,240.8,40.8,2040%,7.0,Below Average,31.5,7203,Action
